County,Total_Workers,Car_Alone,Carpool,Public_Transit,Car_Total,Car_Share,Transit_Share,Car_Cost,Transit_Cost,Weighted_Transportation_Cost
"Sunflower County, Mississippi",8627,7015,152,934,7167,0.8308,0.1083,9000,900,7574.67
"Tallahatchie County, Mississippi",4607,3691,43,461,3734,0.8105,0.1001,9000,900,7384.59
"Tate County, Mississippi",11797,10714,811,642,11525,0.9769,0.0544,9000,900,8841.06
"Tippah County, Mississippi",9287,7787,213,993,8000,0.8614,0.1069,9000,900,7848.81
"Tishomingo County, Mississippi",7648,6876,162,493,7038,0.9202,0.0645,9000,900,8339.85
"Tunica County, Mississippi",3661,3030,90,540,3120,0.8522,0.1475,9000,900,7802.55
"Union County, Mississippi",11763,10808,386,719,11194,0.9516,0.0611,9000,900,8619.39
"Walthall County, Mississippi",4928,3969,48,396,4017,0.8151,0.0804,9000,900,7408.26
"Warren County, Mississippi",18539,16281,607,1232,16888,0.9109,0.0665,9000,900,8257.95
"Washington County, Mississippi",16154,13812,334,1262,14146,0.8757,0.0781,9000,900,7951.59
"Wayne County, Mississippi",7427,6254,197,614,6451,0.8686,0.0827,9000,900,7891.83
"Webster County, Mississippi",4150,3652,126,172,3778,0.9104,0.0414,9000,900,8230.86
"Wilkinson County, Mississippi",2360,1901,18,127,1919,0.8131,0.0538,9000,900,7366.32
"Winston County, Mississippi",6520,5502,81,384,5583,0.8563,0.0589,9000,900,7759.71
"Yalobusha County, Mississippi",4810,4163,96,406,4259,0.8854,0.0844,9000,900,8044.56
"Yazoo County, Mississippi",8451,6923,166,855,7089,0.8388,0.1012,9000,900,7640.28
"Adair County, Missouri",10558,7935,521,1230,8456,0.8009,0.1165,9000,900,7312.95
"Andrew County, Missouri",8699,7311,260,657,7571,0.8703,0.0755,9000,900,7900.65
"Atchison County, Missouri",2487,2050,97,205,2147,0.8633,0.0824,9000,900,7843.86
"Audrain County, Missouri",10249,8472,372,1040,8844,0.8629,0.1015,9000,900,7857.45
"Barry County, Missouri",14955,11164,381,2104,11545,0.772,0.1407,9000,900,7074.63
"Barton County, Missouri",4630,3853,250,197,4103,0.8862,0.0425,9000,900,8014.05
"Bates County, Missouri",6758,5371,232,528,5603,0.8291,0.0781,9000,900,7532.19
"Benton County, Missouri",6911,5515,180,755,5695,0.824,0.1092,9000,900,7514.28
"Bollinger County, Missouri",4667,3653,184,593,3837,0.8222,0.1271,9000,900,7514.19
"Boone County, Missouri",96093,72813,4094,8119,76907,0.8003,0.0845,9000,900,7278.75
"Buchanan County, Missouri",37875,30374,1274,3878,31648,0.8356,0.1024,9000,900,7612.56
"Butler County, Missouri",17309,13598,682,2269,14280,0.825,0.1311,9000,900,7542.99
"Caldwell County, Missouri",3827,3028,118,377,3146,0.8221,0.0985,9000,900,7487.55
"Callaway County, Missouri",19909,15734,993,1583,16727,0.8402,0.0795,9000,900,7633.35
"Camden County, Missouri",17634,13303,611,1900,13914,0.789,0.1077,9000,900,7197.93
"Cape Girardeau County, Missouri",41165,33422,1694,3316,35116,0.8531,0.0806,9000,900,7750.44
"Carroll County, Missouri",3738,2857,101,427,2958,0.7913,0.1142,9000,900,7224.48
"Carter County, Missouri",2116,1558,97,308,1655,0.7821,0.1456,9000,900,7169.94
"Cass County, Missouri",54689,43167,2434,3687,45601,0.8338,0.0674,9000,900,7564.86
"Cedar County, Missouri",5308,4059,87,522,4146,0.7811,0.0983,9000,900,7118.37
"Chariton County, Missouri",3191,2546,140,255,2686,0.8417,0.0799,9000,900,7647.21
"Christian County, Missouri",43420,34431,1534,3828,35965,0.8283,0.0882,9000,900,7534.08
"Clark County, Missouri",2670,2206,139,140,2345,0.8783,0.0524,9000,900,7951.86
"Clay County, Missouri",132338,100976,4247,10065,105223,0.7951,0.0761,9000,900,7224.39
"Clinton County, Missouri",9295,7446,302,829,7748,0.8336,0.0892,9000,900,7582.68
"Cole County, Missouri",37422,30224,1370,3051,31594,0.8443,0.0815,9000,900,7672.05
"Cooper County, Missouri",7271,5716,230,893,5946,0.8178,0.1228,9000,900,7470.72
"Crawford County, Missouri",9445,7374,225,1418,7599,0.8046,0.1501,9000,900,7376.49
"Dade County, Missouri",3128,2451,118,258,2569,0.8213,0.0825,9000,900,7465.95
"Dallas County, Missouri",6401,4786,173,813,4959,0.7747,0.127,9000,900,7086.6
"Daviess County, Missouri",3717,2642,113,362,2755,0.7412,0.0974,9000,900,6758.46
"DeKalb County, Missouri",4120,3192,113,396,3305,0.8022,0.0961,9000,900,7306.29
"Dent County, Missouri",5898,4851,323,466,5174,0.8772,0.079,9000,900,7965.9
"Douglas County, Missouri",4512,3562,159,372,3721,0.8247,0.0824,9000,900,7496.46
"Dunklin County, Missouri",10769,8475,282,1569,8757,0.8132,0.1457,9000,900,7449.93
"Franklin County, Missouri",49373,38669,1671,4566,40340,0.817,0.0925,9000,900,7436.25
"Gasconade County, Missouri",6984,5890,254,576,6144,0.8797,0.0825,9000,900,7991.55
"Gentry County, Missouri",2796,2134,103,190,2237,0.8001,0.068,9000,900,7262.1
"Greene County, Missouri",146429,113533,4764,12081,118297,0.8079,0.0825,9000,900,7345.35
"Grundy County, Missouri",3956,3119,112,314,3231,0.8167,0.0794,9000,900,7421.76
"Harrison County, Missouri",3309,2660,119,274,2779,0.8398,0.0828,9000,900,7632.72
"Henry County, Missouri",9088,7513,318,812,7831,0.8617,0.0893,9000,900,7835.67
"Hickory County, Missouri",2428,1801,78,438,1879,0.7739,0.1804,9000,900,7127.46
"Holt County, Missouri",1960,1555,99,174,1654,0.8439,0.0888,9000,900,7675.02
"Howard County, Missouri",4457,3416,142,494,3558,0.7983,0.1108,9000,900,7284.42
"Howell County, Missouri",15818,13002,554,1715,13556,0.857,0.1084,9000,900,7810.56
"Iron County, Missouri",3653,2984,116,355,3100,0.8486,0.0972,9000,900,7724.88
"Jackson County, Missouri",355941,266280,9611,23583,275891,0.7751,0.0663,9000,900,7035.57
"Jasper County, Missouri",57281,45898,2273,5156,48171,0.841,0.09,9000,900,7650
"Jefferson County, Missouri",114969,93113,4147,8192,97260,0.846,0.0713,9000,900,7678.17
"Johnson County, Missouri",26874,21303,958,2469,22261,0.8283,0.0919,9000,900,7537.41
"Knox County, Missouri",1546,1006,21,98,1027,0.6643,0.0634,9000,900,6035.76
"Laclede County, Missouri",15969,12602,562,2046,13164,0.8243,0.1281,9000,900,7533.99
"Lafayette County, Missouri",15625,12736,681,1196,13417,0.8587,0.0765,9000,900,7797.15
"Lawrence County, Missouri",16439,12253,748,1825,13001,0.7909,0.111,9000,900,7218
"Lewis County, Missouri",4263,3339,248,435,3587,0.8414,0.102,9000,900,7664.4
"Lincoln County, Missouri",29310,23845,754,2462,24599,0.8393,0.084,9000,900,7629.3
"Linn County, Missouri",5549,4512,208,405,4720,0.8506,0.073,9000,900,7721.1
"Livingston County, Missouri",6114,5159,160,457,5319,0.87,0.0747,9000,900,7897.23
"McDonald County, Missouri",9410,7194,240,1085,7434,0.79,0.1153,9000,900,7213.77
"Macon County, Missouri",6447,5062,274,620,5336,0.8277,0.0962,9000,900,7535.88
"Madison County, Missouri",5406,4067,200,707,4267,0.7893,0.1308,9000,900,7221.42
"Maries County, Missouri",3510,2618,30,609,2648,0.7544,0.1735,9000,900,6945.75
"Marion County, Missouri",12698,9895,412,1325,10307,0.8117,0.1043,9000,900,7399.17
"Mercer County, Missouri",1448,1049,71,140,1120,0.7735,0.0967,9000,900,7048.53
"Miller County, Missouri",10936,8800,441,1212,9241,0.845,0.1108,9000,900,7704.72
"Mississippi County, Missouri",4396,3605,232,418,3837,0.8728,0.0951,9000,900,7940.79
"Moniteau County, Missouri",6791,5181,281,887,5462,0.8043,0.1306,9000,900,7356.24
"Monroe County, Missouri",3555,2902,133,300,3035,0.8537,0.0844,9000,900,7759.26
"Montgomery County, Missouri",4995,3845,192,546,4037,0.8082,0.1093,9000,900,7372.17
"Morgan County, Missouri",7849,5230,172,1472,5402,0.6882,0.1875,9000,900,6362.55
"New Madrid County, Missouri",6445,5554,227,600,5781,0.897,0.0931,9000,900,8156.79
"Newton County, Missouri",26038,20660,641,2998,21301,0.8181,0.1151,9000,900,7466.49
"Nodaway County, Missouri",9927,8154,701,984,8855,0.892,0.0991,9000,900,8117.19
"Oregon County, Missouri",3265,2493,62,316,2555,0.7825,0.0968,9000,900,7129.62
"Osage County, Missouri",6625,5243,280,707,5523,0.8337,0.1067,9000,900,7599.33
"Ozark County, Missouri",2839,2014,58,381,2072,0.7298,0.1342,9000,900,6688.98
"Pemiscot County, Missouri",5461,4307,132,801,4439,0.8129,0.1467,9000,900,7448.13
"Perry County, Missouri",8975,7619,343,755,7962,0.8871,0.0841,9000,900,8059.59
"Pettis County, Missouri",19977,15861,1181,2192,17042,0.8531,0.1097,9000,900,7776.63
"Phelps County, Missouri",18592,13680,529,2596,14209,0.7643,0.1396,9000,900,7004.34
"Pike County, Missouri",6743,5542,196,749,5738,0.851,0.1111,9000,900,7758.99
"Platte County, Missouri",57499,43811,1981,3324,45792,0.7964,0.0578,9000,900,7219.62
"Polk County, Missouri",13625,10731,524,1218,11255,0.8261,0.0894,9000,900,7515.36
"Pulaski County, Missouri",27024,17709,521,1840,18230,0.6746,0.0681,9000,900,6132.69
"Putnam County, Missouri",2051,1596,51,242,1647,0.803,0.118,9000,900,7333.2
"Ralls County, Missouri",4587,3761,179,397,3940,0.8589,0.0865,9000,900,7807.95
"Randolph County, Missouri",10704,8813,314,884,9127,0.8527,0.0826,9000,900,7748.64
"Ray County, Missouri",10806,8542,338,891,8880,0.8218,0.0825,9000,900,7470.45
"Reynolds County, Missouri",2336,1760,120,375,1880,0.8048,0.1605,9000,900,7387.65
"Ripley County, Missouri",4151,3205,239,453,3444,0.8297,0.1091,9000,900,7565.49
"St. Charles County, Missouri",217804,165906,7521,12631,173427,0.7963,0.058,9000,900,7218.9
"St. Clair County, Missouri",3782,2892,127,513,3019,0.7983,0.1356,9000,900,7306.74
"Ste. Genevieve County, Missouri",8266,7027,355,518,7382,0.8931,0.0627,9000,900,8094.33
"St. Francois County, Missouri",26536,21019,1206,2712,22225,0.8375,0.1022,9000,900,7629.48
"St. Louis County, Missouri",491734,362167,11377,30285,373544,0.7596,0.0616,9000,900,6891.84
"Saline County, Missouri",10715,8545,493,994,9038,0.8435,0.0928,9000,900,7675.02
"Schuyler County, Missouri",1563,1322,34,82,1356,0.8676,0.0525,9000,900,7855.65
"Scotland County, Missouri",2094,1701,116,133,1817,0.8677,0.0635,9000,900,7866.45
"Scott County, Missouri",17157,14326,508,1748,14834,0.8646,0.1019,9000,900,7873.11
"Shannon County, Missouri",2609,1969,72,348,2041,0.7823,0.1334,9000,900,7160.76
"Shelby County, Missouri",2616,2170,110,175,2280,0.8716,0.0669,9000,900,7904.61
"Stoddard County, Missouri",11874,10401,447,815,10848,0.9136,0.0686,9000,900,8284.14
"Stone County, Missouri",12188,9270,386,1392,9656,0.7923,0.1142,9000,900,7233.48
"Sullivan County, Missouri",2598,1750,90,645,1840,0.7082,0.2483,9000,900,6597.27
"Taney County, Missouri",25091,18755,600,3010,19355,0.7714,0.12,9000,900,7050.6
"Texas County, Missouri",9278,7138,220,1402,7358,0.7931,0.1511,9000,900,7273.89
"Vernon County, Missouri",8286,6079,267,724,6346,0.7659,0.0874,9000,900,6971.76
"Warren County, Missouri",17511,14247,566,1712,14813,0.8459,0.0978,9000,900,7701.12
"Washington County, Missouri",8947,7450,343,1148,7793,0.871,0.1283,9000,900,7954.47
"Wayne County, Missouri",3768,2889,227,514,3116,0.827,0.1364,9000,900,7565.76
"Webster County, Missouri",16373,13043,728,1754,13771,0.8411,0.1071,9000,900,7666.29
"Worth County, Missouri",837,657,43,60,700,0.8363,0.0717,9000,900,7591.23
"Wright County, Missouri",6954,5652,377,622,6029,0.867,0.0894,9000,900,7883.46
"St. Louis city, Missouri",151056,100653,1854,10178,102507,0.6786,0.0674,9000,900,6168.06
"Beaverhead County, Montana",4525,3439,46,349,3485,0.7702,0.0771,9000,900,7001.19
"Big Horn County, Montana",4638,3170,201,788,3371,0.7268,0.1699,9000,900,6694.11
"Blaine County, Montana",2603,1588,56,321,1644,0.6316,0.1233,9000,900,5795.37
"Broadwater County, Montana",3525,2783,122,324,2905,0.8241,0.0919,9000,900,7499.61
"Carbon County, Montana",5219,3454,141,701,3595,0.6888,0.1343,9000,900,6320.07
"Carter County, Montana",620,322,15,45,337,0.5435,0.0726,9000,900,4956.84
"Cascade County, Montana",40658,31671,1417,4201,33088,0.8138,0.1033,9000,900,7417.17
"Chouteau County, Montana",2494,1641,6,293,1647,0.6604,0.1175,9000,900,6049.35
"Custer County, Montana",6175,4339,164,1102,4503,0.7292,0.1785,9000,900,6723.45
"Daniels County, Montana",804,566,23,73,589,0.7326,0.0908,9000,900,6675.12
"Dawson County, Montana",4275,3498,135,226,3633,0.8498,0.0529,9000,900,7695.81
"Deer Lodge County, Montana",4353,3319,59,272,3378,0.776,0.0625,9000,900,7040.25
"Fallon County, Montana",1312,1046,20,104,1066,0.8125,0.0793,9000,900,7383.87
"Fergus County, Montana",5617,3462,70,550,3532,0.6288,0.0979,9000,900,5747.31
"Flathead County, Montana",52578,38777,1887,3400,40664,0.7734,0.0647,9000,900,7018.83
"Gallatin County, Montana",68936,46970,1670,5501,48640,0.7056,0.0798,9000,900,6422.22
"Garfield County, Montana",433,179,17,23,196,0.4527,0.0531,9000,900,4122.09
"Glacier County, Montana",4831,3181,53,552,3234,0.6694,0.1143,9000,900,6127.47
"Golden Valley County, Montana",390,193,4,43,197,0.5051,0.1103,9000,900,4645.17
"Granite County, Montana",1332,914,21,187,935,0.702,0.1404,9000,900,6444.36
"Hill County, Montana",7187,5237,291,1117,5528,0.7692,0.1554,9000,900,7062.66
"Jefferson County, Montana",5650,4080,178,659,4258,0.7536,0.1166,9000,900,6887.34
"Judith Basin County, Montana",992,554,23,65,577,0.5817,0.0655,9000,900,5294.25
"Lake County, Montana",13044,9333,376,1539,9709,0.7443,0.118,9000,900,6804.9
"Lewis and Clark County, Montana",35740,24720,1003,3808,25723,0.7197,0.1065,9000,900,6573.15
"Liberty County, Montana",746,356,0,52,356,0.4772,0.0697,9000,900,4357.53
"Lincoln County, Montana",7475,4620,165,1130,4785,0.6401,0.1512,9000,900,5896.98
"McCone County, Montana",912,575,23,36,598,0.6557,0.0395,9000,900,5936.85
"Madison County, Montana",3945,2397,151,387,2548,0.6459,0.0981,9000,900,5901.39
"Meagher County, Montana",1009,771,87,49,858,0.8503,0.0486,9000,900,7696.44
"Mineral County, Montana",1937,1292,30,298,1322,0.6825,0.1538,9000,900,6280.92
"Missoula County, Montana",65298,45842,2079,5225,47921,0.7339,0.08,9000,900,6677.1
"Musselshell County, Montana",2049,1339,37,159,1376,0.6715,0.0776,9000,900,6113.34
"Park County, Montana",8938,6024,212,980,6236,0.6977,0.1096,9000,900,6377.94
"Petroleum County, Montana",217,124,0,16,124,0.5714,0.0737,9000,900,5208.93
"Phillips County, Montana",1844,1137,66,251,1203,0.6524,0.1361,9000,900,5994.09
"Pondera County, Montana",2508,1802,59,210,1861,0.742,0.0837,9000,900,6753.33
"Powder River County, Montana",814,392,16,149,408,0.5012,0.183,9000,900,4675.5
"Powell County, Montana",2354,1779,17,267,1796,0.763,0.1134,9000,900,6969.06
"Prairie County, Montana",515,270,0,23,270,0.5243,0.0447,9000,900,4758.93
"Ravalli County, Montana",19774,14237,606,2082,14843,0.7506,0.1053,9000,900,6850.17
"Richland County, Montana",5634,4389,241,439,4630,0.8218,0.0779,9000,900,7466.31
"Roosevelt County, Montana",3606,2857,186,335,3043,0.8439,0.0929,9000,900,7678.71
"Rosebud County, Montana",3242,2457,45,381,2502,0.7717,0.1175,9000,900,7051.05
"Sanders County, Montana",4271,2894,81,410,2975,0.6966,0.096,9000,900,6355.8
"Sheridan County, Montana",1689,1201,19,205,1220,0.7223,0.1214,9000,900,6609.96
"Silver Bow County, Montana",15871,12289,322,1663,12611,0.7946,0.1048,9000,900,7245.72
"Stillwater County, Montana",4394,2718,208,940,2926,0.6659,0.2139,9000,900,6185.61
"Sweet Grass County, Montana",1789,1258,99,172,1357,0.7585,0.0961,9000,900,6912.99
"Teton County, Montana",2859,1829,84,352,1913,0.6691,0.1231,9000,900,6132.69
"Toole County, Montana",2109,1525,44,154,1569,0.744,0.073,9000,900,6761.7
"Treasure County, Montana",437,320,0,7,320,0.7323,0.016,9000,900,6605.1
"Valley County, Montana",3430,2235,86,353,2321,0.6767,0.1029,9000,900,6182.91
"Wheatland County, Montana",825,409,17,120,426,0.5164,0.1455,9000,900,4778.55
"Wibaux County, Montana",491,396,10,4,406,0.8269,0.0081,9000,900,7449.39
"Yellowstone County, Montana",83606,65157,2583,8149,67740,0.8102,0.0975,9000,900,7379.55
"Adams County, Nebraska",15433,12837,557,1277,13394,0.8679,0.0827,9000,900,7885.53
"Antelope County, Nebraska",3148,2434,155,246,2589,0.8224,0.0781,9000,900,7471.89
"Arthur County, Nebraska",231,156,13,35,169,0.7316,0.1515,9000,900,6720.75
"Banner County, Nebraska",326,234,2,33,236,0.7239,0.1012,9000,900,6606.18
"Blaine County, Nebraska",205,113,4,9,117,0.5707,0.0439,9000,900,5175.81
"Boone County, Nebraska",2700,1993,67,296,2060,0.763,0.1096,9000,900,6965.64
"Box Butte County, Nebraska",5319,4166,194,679,4360,0.8197,0.1277,9000,900,7492.23
"Boyd County, Nebraska",820,574,20,66,594,0.7244,0.0805,9000,900,6592.05
"Brown County, Nebraska",1342,1052,50,120,1102,0.8212,0.0894,9000,900,7471.26
"Buffalo County, Nebraska",27234,22706,1497,2506,24203,0.8887,0.092,9000,900,8081.1
"Burt County, Nebraska",3045,2269,51,295,2320,0.7619,0.0969,9000,900,6944.31
"Butler County, Nebraska",4383,3429,209,358,3638,0.83,0.0817,9000,900,7543.53
"Cass County, Nebraska",13970,10987,455,1105,11442,0.819,0.0791,9000,900,7442.19
"Cedar County, Nebraska",4312,3511,215,261,3726,0.8641,0.0605,9000,900,7831.35
"Chase County, Nebraska",1631,1222,18,84,1240,0.7603,0.0515,9000,900,6889.05
"Cherry County, Nebraska",2825,1912,44,283,1956,0.6924,0.1002,9000,900,6321.78
"Cheyenne County, Nebraska",4673,3494,56,429,3550,0.7597,0.0918,9000,900,6919.92
"Clay County, Nebraska",3108,2549,100,198,2649,0.8523,0.0637,9000,900,7728.03
"Colfax County, Nebraska",5277,4165,285,621,4450,0.8433,0.1177,9000,900,7695.63
"Cuming County, Nebraska",4658,3845,189,347,4034,0.866,0.0745,9000,900,7861.05
"Custer County, Nebraska",5055,3981,224,509,4205,0.8318,0.1007,9000,900,7576.83
"Dakota County, Nebraska",10405,8017,350,1351,8367,0.8041,0.1298,9000,900,7353.72
"Dawes County, Nebraska",4157,2865,248,538,3113,0.7489,0.1294,9000,900,6856.56
"Dawson County, Nebraska",12108,9449,619,1872,10068,0.8315,0.1546,9000,900,7622.64
"Deuel County, Nebraska",830,652,17,82,669,0.806,0.0988,9000,900,7342.92
"Dixon County, Nebraska",2771,2096,68,271,2164,0.7809,0.0978,9000,900,7116.12
"Dodge County, Nebraska",18286,15485,596,1532,16081,0.8794,0.0838,9000,900,7990.02
"Douglas County, Nebraska",302159,221795,9828,25325,231623,0.7666,0.0838,9000,900,6974.82
"Dundy County, Nebraska",957,722,21,73,743,0.7764,0.0763,9000,900,7056.27
"Fillmore County, Nebraska",3055,2360,40,286,2400,0.7856,0.0936,9000,900,7154.64
"Franklin County, Nebraska",1280,1066,29,97,1095,0.8555,0.0758,9000,900,7767.72
"Frontier County, Nebraska",1196,993,82,44,1075,0.8988,0.0368,9000,900,8122.32
"Furnas County, Nebraska",2078,1604,36,190,1640,0.7892,0.0914,9000,900,7185.06
"Gage County, Nebraska",10435,8707,461,780,9168,0.8786,0.0747,9000,900,7974.63
"Garden County, Nebraska",682,443,19,55,462,0.6774,0.0806,9000,900,6169.14
"Garfield County, Nebraska",966,704,29,94,733,0.7588,0.0973,9000,900,6916.77
"Gosper County, Nebraska",938,656,31,166,687,0.7324,0.177,9000,900,6750.9
"Grant County, Nebraska",357,243,3,19,246,0.6891,0.0532,9000,900,6249.78
"Greeley County, Nebraska",1008,768,30,74,798,0.7917,0.0734,9000,900,7191.36
"Hall County, Nebraska",30705,25104,1202,3558,26306,0.8567,0.1159,9000,900,7814.61
"Hamilton County, Nebraska",4621,3681,162,371,3843,0.8316,0.0803,9000,900,7556.67
"Harlan County, Nebraska",1424,1062,67,186,1129,0.7928,0.1306,9000,900,7252.74
"Hayes County, Nebraska",389,265,3,22,268,0.6889,0.0566,9000,900,6251.04
"Hitchcock County, Nebraska",1117,889,20,84,909,0.8138,0.0752,9000,900,7391.88
"Holt County, Nebraska",5025,4005,138,237,4143,0.8245,0.0472,9000,900,7462.98
"Hooker County, Nebraska",299,198,0,14,198,0.6622,0.0468,9000,900,6001.92
"Howard County, Nebraska",3203,2611,100,216,2711,0.8464,0.0674,9000,900,7678.26
"Jefferson County, Nebraska",3229,2470,115,461,2585,0.8006,0.1428,9000,900,7333.92
"Johnson County, Nebraska",2052,1545,58,234,1603,0.7812,0.114,9000,900,7133.4
"Kearney County, Nebraska",3588,2937,51,270,2988,0.8328,0.0753,9000,900,7562.97
"Keith County, Nebraska",3880,3071,74,249,3145,0.8106,0.0642,9000,900,7353.18
"Keya Paha County, Nebraska",426,255,19,44,274,0.6432,0.1033,9000,900,5881.77
"Kimball County, Nebraska",1594,1300,34,138,1334,0.8369,0.0866,9000,900,7610.04
"Knox County, Nebraska",3885,3013,190,290,3203,0.8245,0.0746,9000,900,7487.64
"Lancaster County, Nebraska",172245,131161,6301,14528,137462,0.7981,0.0843,9000,900,7258.77
"Lincoln County, Nebraska",16247,13948,602,904,14550,0.8955,0.0556,9000,900,8109.54
"Logan County, Nebraska",413,281,5,54,286,0.6925,0.1308,9000,900,6350.22
"Loup County, Nebraska",303,233,13,16,246,0.8119,0.0528,9000,900,7354.62
"McPherson County, Nebraska",267,170,1,24,171,0.6404,0.0899,9000,900,5844.51
"Madison County, Nebraska",18029,14466,740,1849,15206,0.8434,0.1026,9000,900,7682.94
"Merrick County, Nebraska",3915,3302,137,277,3439,0.8784,0.0708,9000,900,7969.32
"Morrill County, Nebraska",2101,1666,105,178,1771,0.8429,0.0847,9000,900,7662.33
"Nance County, Nebraska",1618,1199,28,143,1227,0.7583,0.0884,9000,900,6904.26
"Nemaha County, Nebraska",3228,2674,102,240,2776,0.86,0.0743,9000,900,7806.87
"Nuckolls County, Nebraska",2147,1554,88,292,1642,0.7648,0.136,9000,900,7005.6
"Otoe County, Nebraska",8049,6462,338,843,6800,0.8448,0.1047,9000,900,7697.43
"Pawnee County, Nebraska",1067,738,77,103,815,0.7638,0.0965,9000,900,6961.05
"Perkins County, Nebraska",1417,1116,98,156,1214,0.8567,0.1101,9000,900,7809.39
"Phelps County, Nebraska",4452,3699,206,324,3905,0.8771,0.0728,9000,900,7959.42
"Pierce County, Nebraska",3596,2899,112,239,3011,0.8373,0.0665,9000,900,7595.55
"Platte County, Nebraska",17755,14504,839,1522,15343,0.8642,0.0857,9000,900,7854.93
"Polk County, Nebraska",2764,2103,121,250,2224,0.8046,0.0904,9000,900,7322.76
"Red Willow County, Nebraska",5240,4586,332,219,4918,0.9385,0.0418,9000,900,8484.12
"Richardson County, Nebraska",3602,2861,97,321,2958,0.8212,0.0891,9000,900,7470.99
"Rock County, Nebraska",630,494,51,40,545,0.8651,0.0635,9000,900,7843.05
"Saline County, Nebraska",7283,5782,263,845,6045,0.83,0.116,9000,900,7574.4
"Sarpy County, Nebraska",105341,83440,4649,7091,88089,0.8362,0.0673,9000,900,7586.37
"Saunders County, Nebraska",11885,9279,389,974,9668,0.8135,0.082,9000,900,7395.3
"Scotts Bluff County, Nebraska",16696,13441,450,1651,13891,0.832,0.0989,9000,900,7577.01
"Seward County, Nebraska",9251,7258,429,852,7687,0.8309,0.0921,9000,900,7560.99
"Sheridan County, Nebraska",2404,1597,59,417,1656,0.6889,0.1735,9000,900,6356.25
"Sherman County, Nebraska",1424,1122,35,139,1157,0.8125,0.0976,9000,900,7400.34
"Sioux County, Nebraska",578,454,43,55,497,0.8599,0.0952,9000,900,7824.78
"Stanton County, Nebraska",3047,2507,63,194,2570,0.8435,0.0637,9000,900,7648.83
"Thayer County, Nebraska",2404,1986,77,150,2063,0.8582,0.0624,9000,900,7779.96
"Thomas County, Nebraska",358,237,2,20,239,0.6676,0.0559,9000,900,6058.71
"Thurston County, Nebraska",2676,2108,55,237,2163,0.8083,0.0886,9000,900,7354.44
"Valley County, Nebraska",2026,1673,67,204,1740,0.8588,0.1007,9000,900,7819.83
"Washington County, Nebraska",10874,8869,525,512,9394,0.8639,0.0471,9000,900,7817.49
"Wayne County, Nebraska",5056,3671,221,273,3892,0.7698,0.054,9000,900,6976.8
"Webster County, Nebraska",1752,1444,48,126,1492,0.8516,0.0719,9000,900,7729.11
"Wheeler County, Nebraska",396,276,5,27,281,0.7096,0.0682,9000,900,6447.78
"York County, Nebraska",7051,5637,166,650,5803,0.823,0.0922,9000,900,7489.98
"Churchill County, Nevada",11542,9029,627,962,9656,0.8366,0.0833,9000,900,7604.37
"Clark County, Nevada",1057051,767844,20676,109383,788520,0.746,0.1035,9000,900,6807.15
"Douglas County, Nevada",21270,15840,692,1767,16532,0.7772,0.0831,9000,900,7069.59
"Elko County, Nevada",26327,16892,1037,3827,17929,0.681,0.1454,9000,900,6259.86
"Esmeralda County, Nevada",377,269,0,16,269,0.7135,0.0424,9000,900,6459.66
"Eureka County, Nevada",564,345,0,117,345,0.6117,0.2074,9000,900,5691.96
"Humboldt County, Nevada",7817,4984,162,1229,5146,0.6583,0.1572,9000,900,6066.18
"Lander County, Nevada",2436,1637,76,270,1713,0.7032,0.1108,9000,900,6428.52
"Lincoln County, Nevada",1762,1020,37,329,1057,0.5999,0.1867,9000,900,5567.13
"Lyon County, Nevada",26642,20205,798,3486,21003,0.7883,0.1308,9000,900,7212.42
"Mineral County, Nevada",1558,1224,38,164,1262,0.81,0.1053,9000,900,7384.77
"Nye County, Nevada",16612,12159,408,1691,12567,0.7565,0.1018,9000,900,6900.12
"Pershing County, Nevada",2029,1533,2,192,1535,0.7565,0.0946,9000,900,6893.64
"Storey County, Nevada",1618,1185,10,191,1195,0.7386,0.118,9000,900,6753.6
"Washoe County, Nevada",245528,170871,5337,30434,176208,0.7177,0.124,9000,900,6570.9
"White Pine County, Nevada",3490,2628,79,336,2707,0.7756,0.0963,9000,900,7067.07
"Carson City, Nevada",26634,19422,635,3618,20057,0.7531,0.1358,9000,900,6900.12
"Belknap County, New Hampshire",32383,25235,923,2542,26158,0.8078,0.0785,9000,900,7340.85
"Carroll County, New Hampshire",24272,18143,544,1628,18687,0.7699,0.0671,9000,900,6989.49
"Cheshire County, New Hampshire",38585,29773,897,2886,30670,0.7949,0.0748,9000,900,7221.42
"Coos County, New Hampshire",13930,10686,438,1370,11124,0.7986,0.0983,9000,900,7275.87
"Grafton County, New Hampshire",45083,30759,1004,4260,31763,0.7045,0.0945,9000,900,6425.55
"Hillsborough County, New Hampshire",234675,171151,6776,17284,177927,0.7582,0.0737,9000,900,6890.13
"Merrimack County, New Hampshire",79496,59605,3195,6148,62800,0.79,0.0773,9000,900,7179.57
"Rockingham County, New Hampshire",171914,127029,5655,9528,132684,0.7718,0.0554,9000,900,6996.06
"Strafford County, New Hampshire",70326,50920,2067,4189,52987,0.7534,0.0596,9000,900,6834.24
"Sullivan County, New Hampshire",20431,15833,482,1775,16315,0.7985,0.0869,9000,900,7264.71
"Atlantic County, New Jersey",127405,93357,3436,11272,96793,0.7597,0.0885,9000,900,6916.95
